index,MONTH,STATE,KILLED
0,January,Alabama,105
1,January,Alaska,27
2,January,Arizona,49
3,January,Arkansas,67
4,January,California,332
5,January,Colorado,64
6,January,Connecticut,81
7,January,Delaware,45
8,January,District of Columbia,31
9,January,Florida,413
10,January,Georgia,155
11,January,Hawaii,8
12,January,Idaho,12
13,January,Illinois,454
14,January,Indiana,141
15,January,Iowa,48
16,January,Kansas,48
17,January,Kentucky,95
18,January,Louisiana,210
19,January,Maine,10
20,January,Maryland,125
21,January,Massachusetts,152
22,January,Michigan,117
23,January,Minnesota,41
24,January,Mississippi,93
25,January,Missouri,123
26,January,Montana,6
27,January,Nebraska,33
28,January,Nevada,47
29,January,New Hampshire,22
30,January,New Jersey,124
31,January,New Mexico,30
32,January,New York,164
33,January,North Carolina,213
34,January,North Dakota,11
35,January,Ohio,239
36,January,Oklahoma,68
37,January,Oregon,35
38,January,Pennsylvania,174
39,January,Rhode Island,21
40,January,South Carolina,127
41,January,South Dakota,11
42,January,Tennessee,158
43,January,Texas,318
44,January,Utah,15
45,January,Vermont,4
46,January,Virginia,172
47,January,Washington,70
48,January,West Virginia,34
49,January,Wisconsin,79
50,January,Wyoming,6
203,February,Alabama,95
204,February,Alaska,35
205,February,Arizona,29
206,February,Arkansas,55
207,February,California,324
208,February,Colorado,64
209,February,Connecticut,46
210,February,Delaware,25
211,February,District of Columbia,39
212,February,Florida,388
213,February,Georgia,153
214,February,Hawaii,2
215,February,Idaho,9
216,February,Illinois,364
217,February,Indiana,112
218,February,Iowa,56
219,February,Kansas,44
220,February,Kentucky,102
221,February,Louisiana,185
222,February,Maine,14
223,February,Maryland,112
224,February,Massachusetts,120
225,February,Michigan,108
226,February,Minnesota,54
227,February,Mississippi,81
228,February,Missouri,119
229,February,Montana,10
230,February,Nebraska,31
231,February,Nevada,33
232,February,New Hampshire,18
233,February,New Jersey,87
234,February,New Mexico,42
235,February,New York,128
236,February,North Carolina,151
237,February,North Dakota,10
238,February,Ohio,200
239,February,Oklahoma,59
240,February,Oregon,24
241,February,Pennsylvania,163
242,February,Rhode Island,12
243,February,South Carolina,129
244,February,South Dakota,4
245,February,Tennessee,139
246,February,Texas,293
247,February,Utah,13
248,February,Vermont,8
249,February,Virginia,106
250,February,Washington,44
251,February,West Virginia,37
252,February,Wisconsin,67
253,February,Wyoming,11
254,March,Alabama,121
255,March,Alaska,21
256,March,Arizona,34
257,March,Arkansas,81
258,March,California,403
259,March,Colorado,66
260,March,Connecticut,56
261,March,Delaware,21
262,March,District of Columbia,57
263,March,Florida,425
264,March,Georgia,155
265,March,Hawaii,8
266,March,Idaho,11
267,March,Illinois,326
268,March,Indiana,101
269,March,Iowa,42
270,March,Kansas,50
271,March,Kentucky,91
272,March,Louisiana,172
273,March,Maine,14
274,March,Maryland,102
275,March,Massachusetts,118
276,March,Michigan,141
277,March,Minnesota,40
278,March,Mississippi,70
279,March,Missouri,113
280,March,Montana,9
281,March,Nebraska,30
282,March,Nevada,43
283,March,New Hampshire,15
284,March,New Jersey,123
285,March,New Mexico,44
286,March,New York,147
287,March,North Carolina,160
288,March,North Dakota,15
289,March,Ohio,201
